Issued To	Issued By	Expiration Date	Intended Purposes	Friendly Name	Status	Certificate Template
172.21.240.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
172.21.64.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	1/16/2023	Server Authentication, Client Authentication	<None>	    	
172.21.96.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	12/29/2022	Server Authentication, Client Authentication	<None>	    	
172.22.0.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/23/2022	Server Authentication, Client Authentication	<None>	    	
172.22.112.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/16/2022	Server Authentication, Client Authentication	<None>	    	
172.22.128.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/6/2022	Server Authentication, Client Authentication	<None>	    	
172.22.16.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	2/6/2023	Server Authentication, Client Authentication	<None>	    	
172.22.176.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/16/2022	Server Authentication, Client Authentication	<None>	    	
172.22.192.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
172.22.208.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/15/2022	Server Authentication, Client Authentication	<None>	    	
172.22.224.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/13/2022	Server Authentication, Client Authentication	<None>	    	
172.22.48.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
172.22.64.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	12/16/2022	Server Authentication, Client Authentication	<None>	    	
172.22.96.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/28/2022	Server Authentication, Client Authentication	<None>	    	
172.23.0.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/26/2022	Server Authentication, Client Authentication	<None>	    	
172.23.112.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/26/2022	Server Authentication, Client Authentication	<None>	    	
172.23.144.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
172.23.16.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	12/26/2022	Server Authentication, Client Authentication	<None>	    	
172.23.176.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	1/14/2023	Server Authentication, Client Authentication	<None>	    	
172.23.224.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/9/2022	Server Authentication, Client Authentication	<None>	    	
172.23.48.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	1/25/2023	Server Authentication, Client Authentication	<None>	    	
172.23.96.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/9/2022	Server Authentication, Client Authentication	<None>	    	
172.24.144.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/29/2022	Server Authentication, Client Authentication	<None>	    	
172.24.16.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/25/2022	Server Authentication, Client Authentication	<None>	    	
172.24.192.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/4/2022	Server Authentication, Client Authentication	<None>	    	
172.24.208.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/31/2022	Server Authentication, Client Authentication	<None>	    	
